nom_crise;type_crise;pays;latitude;longitude;intensite;date;population_touchee;accessibilite;description;en_cours;date_fin;source
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28;-71;;09/12/1926;;;location : NORTHERN CHILE;False;09/12/1926;
Tsunami USA S. CALIFORNIA;Tsunami;USA;32.5;-115.5;;01/01/1927;;;location : S. CALIFORNIA;False;01/01/1927;
Tsunami NORWAY WESTERN NORWAY;Tsunami;NORWAY;59;3;;24/01/1927;;;location : WESTERN NORWAY;False;24/01/1927;
Tsunami JAPAN SW. HONSHU ISLAND;Tsunami;JAPAN;35.6;135.1;;07/03/1927;;;location : SW. HONSHU ISLAND;False;07/03/1927;
Tsunami UKRAINE CRIMEA, BLACK SEA;Tsunami;UKRAINE;44.4;34.4;;26/06/1927;;;location : CRIMEA, BLACK SEA;False;26/06/1927;
Tsunami ISRAEL DEAD SEA;Tsunami;ISRAEL;32;35.5;;11/07/1927;;;location : DEAD SEA;False;11/07/1927;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37.9;142;;05/08/1927;;;location : SANRIKU;False;05/08/1927;
Tsunami JAPAN KASHIMA, JAPAN;Tsunami;JAPAN;34.2;142;;18/08/1927;;;location : KASHIMA, JAPAN;False;18/08/1927;
Tsunami UKRAINE CRIMEA, BLACK SEA;Tsunami;UKRAINE;44.4;34.5;;11/09/1927;;;location : CRIMEA, BLACK SEA;False;11/09/1927;
Tsunami USA SE. ALASKA, AK;Tsunami;USA;57.69;-136.07;;24/10/1927;;;location : SE. ALASKA, AK;False;24/10/1927;
Tsunami USA S. CALIFORNIA;Tsunami;USA;34.813;-120.774;;04/11/1927;;;location : S. CALIFORNIA;False;04/11/1927;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-44.6;-73;;21/11/1927;;;location : SOUTHERN CHILE;False;21/11/1927;
Tsunami INDONESIA SULAWESI;Tsunami;INDONESIA;-0.7;119.7;;01/12/1927;;;location : SULAWESI;False;01/12/1927;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;55.663;160.039;;28/12/1927;;;location : KAMCHATKA;False;28/12/1927;
Tsunami CANADA BRITISH COLUMBIA;Tsunami;CANADA;49;-125;;09/02/1928;;;location : BRITISH COLUMBIA;False;09/02/1928;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;15.67;-96.1;;22/03/1928;;;location : MEXICO;False;22/03/1928;
Tsunami GREECE EAST AEGEAN;Tsunami;GREECE;38.1;27.4;;31/03/1928;;;location : EAST AEGEAN;False;31/03/1928;
Tsunami PERU S. PERU;Tsunami;PERU;-13.595;-70.343;;09/04/1928;;;location : S. PERU;False;09/04/1928;
Tsunami GREECE CORINTHOS-PATRAS GULF;Tsunami;GREECE;38;23;;22/04/1928;;;location : CORINTHOS-PATRAS GULF;False;22/04/1928;
Tsunami GREECE AEGEAN SEA;Tsunami;GREECE;38;23.5;;24/04/1928;;;location : AEGEAN SEA;False;24/04/1928;
Tsunami GREECE GRECIAN ARCHIPELAGO, CRETE;Tsunami;GREECE;38;23;;25/04/1928;;;location : GRECIAN ARCHIPELAGO, CRETE;False;25/04/1928;
Tsunami PERU S. PERU;Tsunami;PERU;-13;-69.5;;27/04/1928;;;location : S. PERU;False;27/04/1928;
Tsunami GREECE NORTH AEGEAN;Tsunami;GREECE;39.6;29.1;;02/05/1928;;;location : NORTH AEGEAN;False;02/05/1928;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;40;143.2;;27/05/1928;;;location : SANRIKU;False;27/05/1928;
Tsunami PHILIPPINES SULU SEA;Tsunami;PHILIPPINES;12.4;120.9;;15/06/1928;;;location : SULU SEA;False;15/06/1928;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;16.028;-97.036;;17/06/1928;;;location : S. MEXICO;False;17/06/1928;
Tsunami PERU N. PERU;Tsunami;PERU;-5.5;-79;;18/07/1928;;;location : N. PERU;False;18/07/1928;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-22.5;-70.5;;20/11/1928;;;location : NORTHERN CHILE;False;20/11/1928;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-35;-72;;01/12/1928;;;location : CENTRAL CHILE;False;01/12/1928;
Tsunami PHILIPPINES CELEBES SEA;Tsunami;PHILIPPINES;7;124;;19/12/1928;;;location : CELEBES SEA;False;19/12/1928;
Tsunami PHILIPPINES PHILIPPINES;Tsunami;PHILIPPINES;7.5;123;;28/12/1928;;;location : PHILIPPINES;False;28/12/1928;
Tsunami VENEZUELA CUMANA;Tsunami;VENEZUELA;10.6;-65.6;;17/01/1929;;;location : CUMANA;False;17/01/1929;
Tsunami USA FOX ISLANDS, ALEUTIAN ISLANDS, AK;Tsunami;USA;50.88;-169.71;;07/03/1929;;;location : FOX ISLANDS, ALEUTIAN ISLANDS, AK;False;07/03/1929;
Tsunami JAPAN HYUGANADA SEA;Tsunami;JAPAN;31.7;132.2;;21/05/1929;;;location : HYUGANADA SEA;False;21/05/1929;
Tsunami CANADA BRITISH COLUMBIA;Tsunami;CANADA;51;-131;;26/05/1929;;;location : BRITISH COLUMBIA;False;26/05/1929;
Tsunami PHILIPPINES E. MINDANAO ISLAND;Tsunami;PHILIPPINES;8.5;127;;13/06/1929;;;location : E. MINDANAO ISLAND;False;13/06/1929;
Tsunami NEW ZEALAND TASMAN SEA;Tsunami;NEW ZEALAND;-41.75;172.25;;16/06/1929;;;location : TASMAN SEA;False;16/06/1929;
Tsunami CANADA GRAND BANKS, NEWFOUNDLAND;Tsunami;CANADA;44.426;-56.03;;18/11/1929;;;location : GRAND BANKS, NEWFOUNDLAND;False;18/11/1929;
Tsunami CHINA JIANGSU PROVINCE;Tsunami;CHINA;32.2;119.4;;03/01/1930;;;location : JIANGSU PROVINCE;False;03/01/1930;
Tsunami MYANMAR (BURMA) MYANMAR COAST;Tsunami;MYANMAR (BURMA);17.733;96.406;;05/05/1930;;;location : MYANMAR COAST;False;05/05/1930;
Tsunami INDONESIA SOUTH OF JAVA;Tsunami;INDONESIA;-5.6;105.3;;19/06/1930;;;location : SOUTH OF JAVA;False;19/06/1930;
Tsunami INDONESIA SOUTH OF JAVA;Tsunami;INDONESIA;-9.3;114.3;;19/07/1930;;;location : SOUTH OF JAVA;False;19/07/1930;
Tsunami USA S. CALIFORNIA;Tsunami;USA;34.03;-118.643;;31/08/1930;;;location : S. CALIFORNIA;False;31/08/1930;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-4.423;145.46;;30/09/1930;;;location : BISMARCK SEA;False;30/09/1930;
Tsunami ITALY CENTRAL ADRIATIC;Tsunami;ITALY;43.89;13.483;;30/10/1930;;;location : CENTRAL ADRIATIC;False;30/10/1930;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-1.3;144.3;;23/12/1930;;;location : BISMARCK SEA;False;23/12/1930;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28.5;-71;;29/12/1930;;;location : NORTHERN CHILE;False;29/12/1930;
Tsunami NEW ZEALAND N. NEW ZEALAND;Tsunami;NEW ZEALAND;-39.772;176.025;;02/02/1931;;;location : N. NEW ZEALAND;False;02/02/1931;
Tsunami NEW ZEALAND N. NEW ZEALAND;Tsunami;NEW ZEALAND;-39.5;177;;13/02/1931;;;location : N. NEW ZEALAND;False;13/02/1931;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;41.2;142.5;;09/03/1931;;;location : SANRIKU;False;09/03/1931;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-32.5;-72;;18/03/1931;;;location : CENTRAL CHILE;False;18/03/1931;
Tsunami UK DOGGER BANK, ENGLAND;Tsunami;UK;54;1.067;;07/06/1931;;;location : DOGGER BANK, ENGLAND;False;07/06/1931;
Tsunami PHILIPPINES PHILIPPINES;Tsunami;PHILIPPINES;12.71;123.889;;12/07/1931;;;location : PHILIPPINES;False;12/07/1931;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-3.417;142.077;;07/08/1931;;;location : BISMARCK SEA;False;07/08/1931;
Tsunami INDONESIA SW. SUMATRA;Tsunami;INDONESIA;-5;102.75;;25/09/1931;;;location : SW. SUMATRA;False;25/09/1931;
Tsunami SOLOMON ISLANDS SAN CRISTOBAL ISLAND;Tsunami;SOLOMON ISLANDS;-10.932;161.016;;03/10/1931;;;location : SAN CRISTOBAL ISLAND;False;03/10/1931;
Tsunami JAPAN SEIKAIDO;Tsunami;JAPAN;32.2;132.1;;02/11/1931;;;location : SEIKAIDO;False;02/11/1931;
Tsunami CUBA SANTIAGO DE CUBA;Tsunami;CUBA;19.706;-75.691;;03/02/1932;;;location : SANTIAGO DE CUBA;False;03/02/1932;
Tsunami PHILIPPINES MINDANAO ISLAND, PHILIPPINES;Tsunami;PHILIPPINES;9.5;127.6;;19/03/1932;;;location : MINDANAO ISLAND, PHILIPPINES;False;19/03/1932;
Tsunami INDONESIA NORTH SULAWESI;Tsunami;INDONESIA;0.386;125.884;;14/05/1932;;;location : NORTH SULAWESI;False;14/05/1932;
Tsunami MEXICO CENTRAL MEXICO;Tsunami;MEXICO;19.623;-103.919;;03/06/1932;;;location : CENTRAL MEXICO;False;03/06/1932;
Tsunami MEXICO CENTRAL MEXICO;Tsunami;MEXICO;19.081;-103.631;;18/06/1932;;;location : CENTRAL MEXICO;False;18/06/1932;
Tsunami MEXICO CENTRAL MEXICO;Tsunami;MEXICO;19.242;-104.383;;22/06/1932;;;location : CENTRAL MEXICO;False;22/06/1932;
Tsunami INDONESIA BANDA SEA;Tsunami;INDONESIA;-3.57;128.35;;09/09/1932;;;location : BANDA SEA;False;09/09/1932;
Tsunami NEW ZEALAND N. NEW ZEALAND;Tsunami;NEW ZEALAND;-39;177.5;;15/09/1932;;;location : N. NEW ZEALAND;False;15/09/1932;
Tsunami GREECE NORTH AEGEAN;Tsunami;GREECE;40.5;23.9;;26/09/1932;;;location : NORTH AEGEAN;False;26/09/1932;
Tsunami RUSSIA KHARIMKOTAN, N. KURIL ISLANDS;Tsunami;RUSSIA;49.12;154.508;;08/01/1933;;;location : KHARIMKOTAN, N. KURIL ISLANDS;False;08/01/1933;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-20;-71;;23/02/1933;;;location : NORTHERN CHILE;False;23/02/1933;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;39.209;144.59;;02/03/1933;;;location : SANRIKU;False;02/03/1933;
Tsunami USA S. CALIFORNIA;Tsunami;USA;33.616;-117.966;;11/03/1933;;;location : S. CALIFORNIA;False;11/03/1933;
Tsunami GREECE COS, DODECANESE;Tsunami;GREECE;36.759;27.299;;23/04/1933;;;location : COS, DODECANESE;False;23/04/1933;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;17.404;-100.908;;08/05/1933;;;location : MEXICO;False;08/05/1933;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;38.1;142.4;;18/06/1933;;;location : SANRIKU;False;18/06/1933;
Tsunami ECUADOR ECUADOR;Tsunami;ECUADOR;-2;-81;;02/10/1933;;;location : ECUADOR;False;02/10/1933;
Tsunami VANUATU VANUATU ISLANDS;Tsunami;VANUATU;-16.895;167.776;;19/11/1933;;;location : VANUATU ISLANDS;False;19/11/1933;
Tsunami NEPAL BIHAR-NEPAL, GANGES RIVER;Tsunami;NEPAL;26.773;86.76;;15/01/1934;;;location : BIHAR-NEPAL, GANGES RIVER;False;15/01/1934;
Tsunami PHILIPPINES SOUTH CHINA SEA;Tsunami;PHILIPPINES;17.5;119;;14/02/1934;;;location : SOUTH CHINA SEA;False;14/02/1934;
Tsunami PANAMA COSTA RICA-PANAMA;Tsunami;PANAMA;8;-82.5;;18/07/1934;;;location : COSTA RICA-PANAMA;False;18/07/1934;
Tsunami SOLOMON ISLANDS SOLOMON ISLANDS;Tsunami;SOLOMON ISLANDS;-11.907;166.731;;18/07/1934;;;location : SOLOMON ISLANDS;False;18/07/1934;
Tsunami SOLOMON ISLANDS SOLOMON ISLANDS;Tsunami;SOLOMON ISLANDS;-11.139;165.503;;21/07/1934;;;location : SOLOMON ISLANDS;False;21/07/1934;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;18.5;-105.5;;30/11/1934;;;location : MEXICO;False;30/11/1934;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-19.5;-69.5;;04/12/1934;;;location : NORTHERN CHILE;False;04/12/1934;
Tsunami TURKEY MARMARA SEA;Tsunami;TURKEY;40.62;27.451;;04/01/1935;;;location : MARMARA SEA;False;04/01/1935;
Tsunami PAKISTAN QUETTA;Tsunami;PAKISTAN;29.5;66.8;;30/05/1935;;;location : QUETTA;False;30/05/1935;
Tsunami JAPAN JAPAN;Tsunami;JAPAN;36.6;141.4;;19/07/1935;;;location : JAPAN;False;19/07/1935;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-3.824;141.416;;20/09/1935;;;location : BISMARCK SEA;False;20/09/1935;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;39.9;143.7;;12/10/1935;;;location : SANRIKU;False;12/10/1935;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;40.7;144.3;;18/10/1935;;;location : SANRIKU;False;18/10/1935;
Tsunami INDONESIA CELEBES SEA;Tsunami;INDONESIA;5.5;94;;25/11/1935;;;location : CELEBES SEA;False;25/11/1935;
Tsunami CHINA SICHUAN PROVINCE;Tsunami;CHINA;28.7;103.6;;18/12/1935;;;location : SICHUAN PROVINCE;False;18/12/1935;
Tsunami INDONESIA SW. SUMATRA;Tsunami;INDONESIA;0.001;98.25;;28/12/1935;;;location : SW. SUMATRA;False;28/12/1935;
Tsunami INDONESIA SULAWESI;Tsunami;INDONESIA;4.5;126.5;;01/04/1936;;;location : SULAWESI;False;01/04/1936;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-24.5;-70;;13/07/1936;;;location : NORTHERN CHILE;False;13/07/1936;
Tsunami INDONESIA OFF NORTHWEST COAST;Tsunami;INDONESIA;6.1;94.7;;23/08/1936;;;location : OFF NORTHWEST COAST;False;23/08/1936;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;38.2;142.2;;02/11/1936;;;location : SANRIKU;False;02/11/1936;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;55.2;164;;13/11/1936;;;location : KAMCHATKA;False;13/11/1936;
Tsunami PHILIPPINES W. LUZON ISLAND;Tsunami;PHILIPPINES;14.5;121.5;;20/08/1937;;;location : W. LUZON ISLAND;False;20/08/1937;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;56;162.5;;21/09/1937;;;location : KAMCHATKA;False;21/09/1937;
Tsunami USA BERING SEA, AK;Tsunami;USA;58;-165;;21/09/1937;;;location : BERING SEA, AK;False;21/09/1937;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;58;165;;22/09/1937;;;location : KAMCHATKA;False;22/09/1937;
Tsunami INDONESIA BANDA SEA;Tsunami;INDONESIA;-3;132.3;;06/11/1937;;;location : BANDA SEA;False;06/11/1937;
Tsunami INDONESIA BANDA SEA;Tsunami;INDONESIA;-5.045;131.614;;01/02/1938;;;location : BANDA SEA;False;01/02/1938;
Tsunami INDONESIA BANDA SEA;Tsunami;INDONESIA;-3;132.3;;13/02/1938;;;location : BANDA SEA;False;13/02/1938;
Tsunami CANADA BRITISH COLUMBIA;Tsunami;CANADA;52.2;-131.9;;22/03/1938;;;location : BRITISH COLUMBIA;False;22/03/1938;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-6;147.8;;12/05/1938;;;location : SOLOMON SEA;False;12/05/1938;
Tsunami INDONESIA MAKASSAR STRAIT;Tsunami;INDONESIA;-1;120;;19/05/1938;;;location : MAKASSAR STRAIT;False;19/05/1938;
Tsunami JAPAN JAPAN TRENCH;Tsunami;JAPAN;36.7;141.4;;23/05/1938;;;location : JAPAN TRENCH;False;23/05/1938;
Tsunami JAPAN E. HOKKAIDO ISLAND;Tsunami;JAPAN;43.6;144.3;;28/05/1938;;;location : E. HOKKAIDO ISLAND;False;28/05/1938;
Tsunami JAPAN RYUKYU ISLANDS;Tsunami;JAPAN;25.321;125.115;;10/06/1938;;;location : RYUKYU ISLANDS;False;10/06/1938;
Tsunami GREECE CENTRAL GREECE (EURIPUS STRAIT);Tsunami;GREECE;38.154;23.592;;20/07/1938;;;location : CENTRAL GREECE (EURIPUS STRAIT);False;20/07/1938;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37.1;141.7;;05/11/1938;;;location : SANRIKU;False;05/11/1938;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37.2;141.7;;05/11/1938;;;location : SANRIKU;False;05/11/1938;
Tsunami JAPAN OFF FUKUSHIMA PREFECTURE;Tsunami;JAPAN;37.5;141.8;;06/11/1938;;;location : OFF FUKUSHIMA PREFECTURE;False;06/11/1938;
Tsunami JAPAN OFF FUKUSHIMA PREFECTURE;Tsunami;JAPAN;37;141.7;;06/11/1938;;;location : OFF FUKUSHIMA PREFECTURE;False;06/11/1938;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37.6;141.2;;09/11/1938;;;location : SANRIKU;False;09/11/1938;
Tsunami USA SHUMAGIN ISLANDS, AK;Tsunami;USA;55.48;-158.37;;10/11/1938;;;location : SHUMAGIN ISLANDS, AK;False;10/11/1938;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37;141.5;;13/11/1938;;;location : SANRIKU;False;13/11/1938;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37.4;141.6;;16/11/1938;;;location : SANRIKU;False;16/11/1938;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;36.7;142.1;;22/11/1938;;;location : SANRIKU;False;22/11/1938;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37;142.2;;30/11/1938;;;location : SANRIKU;False;30/11/1938;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-36.25;-72.25;;25/01/1939;;;location : CENTRAL CHILE;False;25/01/1939;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-7.08;155.386;;30/01/1939;;;location : SOLOMON SEA;False;30/01/1939;
Tsunami JAPAN SEIKAIDO;Tsunami;JAPAN;32.3;132;;20/03/1939;;;location : SEIKAIDO;False;20/03/1939;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-27;-70.5;;18/04/1939;;;location : NORTHERN CHILE;False;18/04/1939;
Tsunami SOLOMON ISLANDS SOLOMON ISLANDS;Tsunami;SOLOMON ISLANDS;-9.295;159.234;;30/04/1939;;;location : SOLOMON ISLANDS;False;30/04/1939;
Tsunami JAPAN NW. HONSHU ISLAND;Tsunami;JAPAN;40.1;139.5;;01/05/1939;;;location : NW. HONSHU ISLAND;False;01/05/1939;
Tsunami PHILIPPINES TAYABAS BAY, SULU SEA;Tsunami;PHILIPPINES;13.5;121.25;;06/05/1939;;;location : TAYABAS BAY, SULU SEA;False;06/05/1939;
Tsunami PORTUGAL AZORES;Tsunami;PORTUGAL;37.198;-24.356;;08/05/1939;;;location : AZORES;False;08/05/1939;
Tsunami GHANA GOLD COAST;Tsunami;GHANA;5.568;-0.625;;22/06/1939;;;location : GOLD COAST;False;22/06/1939;
Tsunami CUBA SANTA CLARA;Tsunami;CUBA;22.2;-79.1;;15/08/1939;;;location : SANTA CLARA;False;15/08/1939;
Tsunami INDONESIA N. MOLUCCAS ISLANDS;Tsunami;INDONESIA;0;123;;21/12/1939;;;location : N. MOLUCCAS ISLANDS;False;21/12/1939;
Tsunami TURKEY SOUTH BLACK SEA;Tsunami;TURKEY;39.907;39.586;;26/12/1939;;;location : SOUTH BLACK SEA;False;26/12/1939;
Tsunami ITALY NORTHERN SICILY;Tsunami;ITALY;38.067;13.467;;15/01/1940;;;location : NORTHERN SICILY;False;15/01/1940;
Tsunami PERU CENTRAL PERU;Tsunami;PERU;-10.5;-77;;24/05/1940;;;location : CENTRAL PERU;False;24/05/1940;
Tsunami JAPAN W. HOKKAIDO ISLAND;Tsunami;JAPAN;44.2;139.5;;01/08/1940;;;location : W. HOKKAIDO ISLAND;False;01/08/1940;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-22;-71;;04/10/1940;;;location : NORTHERN CHILE;False;04/10/1940;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-41.5;-74.5;;11/10/1940;;;location : SOUTHERN CHILE;False;11/10/1940;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-4.175;152.071;;13/01/1941;;;location : BISMARCK SEA;False;13/01/1941;
Tsunami CYPRUS LEVANTIAN SEA;Tsunami;CYPRUS;35.221;33.751;;20/01/1941;;;location : LEVANTIAN SEA;False;20/01/1941;
Tsunami USA NORTHERN CALIFORNIA;Tsunami;USA;40.5;-125.25;;09/02/1941;;;location : NORTHERN CALIFORNIA;False;09/02/1941;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;18.68;-102.989;;15/04/1941;;;location : MEXICO;False;15/04/1941;
Tsunami INDIA ANDAMAN SEA, E. COAST INDIA;Tsunami;INDIA;11.94;92.626;;26/06/1941;;;location : ANDAMAN SEA, E. COAST INDIA;False;26/06/1941;
Tsunami JAPAN SEIKAIDO;Tsunami;JAPAN;32;132.1;;18/11/1941;;;location : SEIKAIDO;False;18/11/1941;
Tsunami ATLANTIC OCEAN AZORES GIBRALTAR FRACTURE ZONE;Tsunami;ATLANTIC OCEAN;37.301;-18.966;;25/11/1941;;;location : AZORES GIBRALTAR FRACTURE ZONE;False;25/11/1941;
Tsunami COSTA RICA COSTA RICA-PANAMA;Tsunami;COSTA RICA;8.7;-83.2;;05/12/1941;;;location : COSTA RICA-PANAMA;False;05/12/1941;
Tsunami COSTA RICA COSTA RICA-PANAMA;Tsunami;COSTA RICA;8.5;-84;;06/12/1941;;;location : COSTA RICA-PANAMA;False;06/12/1941;
Tsunami COLOMBIA COLOMBIA;Tsunami;COLOMBIA;4.6;-74.5;;22/05/1942;;;location : COLOMBIA;False;22/05/1942;
Tsunami PERU S. PERU;Tsunami;PERU;-15;-76;;24/08/1942;;;location : S. PERU;False;24/08/1942;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-30.75;-72;;06/04/1943;;;location : CENTRAL CHILE;False;06/04/1943;
Tsunami JAPAN SE. HOKKAIDO ISLAND;Tsunami;JAPAN;41.2;143.3;;13/06/1943;;;location : SE. HOKKAIDO ISLAND;False;13/06/1943;
Tsunami TURKEY EDREMIT GULF, AEGEAN SEA;Tsunami;TURKEY;39.509;26.587;;06/10/1944;;;location : EDREMIT GULF, AEGEAN SEA;False;06/10/1944;
Tsunami JAPAN OFF SOUTHEAST COAST KII PENINSULA;Tsunami;JAPAN;34;137.1;;07/12/1944;;;location : OFF SOUTHEAST COAST KII PENINSULA;False;07/12/1944;
Tsunami JAPAN TOKAIDO;Tsunami;JAPAN;34.7;137.2;;12/01/1945;;;location : TOKAIDO;False;12/01/1945;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;40.9;142.1;;10/02/1945;;;location : SANRIKU;False;10/02/1945;
Tsunami PAKISTAN MAKRAN COAST;Tsunami;PAKISTAN;24.5;63;;27/11/1945;;;location : MAKRAN COAST;False;27/11/1945;
Tsunami USA UNIMAK ISLAND, AK;Tsunami;USA;53.492;-162.832;;01/04/1946;;;location : UNIMAK ISLAND, AK;False;01/04/1946;
Tsunami CANADA BRITISH COLUMBIA;Tsunami;CANADA;49.87;-124.92;;23/06/1946;;;location : BRITISH COLUMBIA;False;23/06/1946;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-26.5;-70.5;;02/08/1946;;;location : NORTHERN CHILE;False;02/08/1946;
Tsunami DOMINICAN REPUBLIC NORTHEASTERN COAST;Tsunami;DOMINICAN REPUBLIC;19.25;-69;;04/08/1946;;;location : NORTHEASTERN COAST;False;04/08/1946;
Tsunami DOMINICAN REPUBLIC NORTHEASTERN COAST;Tsunami;DOMINICAN REPUBLIC;19.5;-69.5;;08/08/1946;;;location : NORTHEASTERN COAST;False;08/08/1946;
Tsunami PERU S. PERU;Tsunami;PERU;-14;-76.25;;30/09/1946;;;location : S. PERU;False;30/09/1946;
Tsunami USA ANDREANOF ISLANDS, AK;Tsunami;USA;51.5;-174.5;;01/11/1946;;;location : ANDREANOF ISLANDS, AK;False;01/11/1946;
Tsunami JAPAN HONSHU: S COAST;Tsunami;JAPAN;33.123;135.905;;20/12/1946;;;location : HONSHU: S COAST;False;20/12/1946;
Tsunami NEW ZEALAND OFF COAST OF NORTH ISLAND;Tsunami;NEW ZEALAND;-38.85;178.87;;25/03/1947;;;location : OFF COAST OF NORTH ISLAND;False;25/03/1947;
Tsunami NEW ZEALAND OFF COAST OF NORTH ISLAND;Tsunami;NEW ZEALAND;-38.42;178.88;;17/05/1947;;;location : OFF COAST OF NORTH ISLAND;False;17/05/1947;
Tsunami GREECE PELOPONNESUS, GREECE;Tsunami;GREECE;36.808;21.916;;06/10/1947;;;location : PELOPONNESUS, GREECE;False;06/10/1947;
Tsunami JAPAN W. HOKKAIDO ISLAND;Tsunami;JAPAN;43.8;141;;04/11/1947;;;location : W. HOKKAIDO ISLAND;False;04/11/1947;
Tsunami PHILIPPINES SULU SEA;Tsunami;PHILIPPINES;10.714;122.235;;24/01/1948;;;location : SULU SEA;False;24/01/1948;
Tsunami GREECE DODECANESE, KARPATHOS IS.;Tsunami;GREECE;35.64;27.158;;09/02/1948;;;location : DODECANESE, KARPATHOS IS.;False;09/02/1948;
Tsunami JAPAN TOKAIDO;Tsunami;JAPAN;33.1;135.6;;17/04/1948;;;location : TOKAIDO;False;17/04/1948;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;38.532;20.427;;22/04/1948;;;location : IONIAN SEA;False;22/04/1948;
Tsunami CHINA SHANDONG PROVINCE;Tsunami;CHINA;37.2;121.8;;23/05/1948;;;location : SHANDONG PROVINCE;False;23/05/1948;
Tsunami INDONESIA OFF NORTHWEST COAST;Tsunami;INDONESIA;6;95;;01/06/1948;;;location : OFF NORTHWEST COAST;False;01/06/1948;
Tsunami TONGA TONGA TRENCH;Tsunami;TONGA;-21;-174;;08/09/1948;;;location : TONGA TRENCH;False;08/09/1948;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;21.182;-106.818;;04/12/1948;;;location : MEXICO;False;04/12/1948;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-22.5;-69;;26/12/1948;;;location : NORTHERN CHILE;False;26/12/1948;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;54.6;163.5;;27/01/1949;;;location : KAMCHATKA;False;27/01/1949;
Tsunami USA PUGET SOUND, WA;Tsunami;USA;47.167;-122.617;;13/04/1949;;;location : PUGET SOUND, WA;False;13/04/1949;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-38;-73.5;;20/04/1949;;;location : CENTRAL CHILE;False;20/04/1949;
Tsunami INDONESIA BANDA ACEH;Tsunami;INDONESIA;5;95;;09/05/1949;;;location : BANDA ACEH;False;09/05/1949;
Tsunami GREECE CHIOS ISLAND, AEGEAN ISLANDS;Tsunami;GREECE;38.718;26.482;;23/07/1949;;;location : CHIOS ISLAND, AEGEAN ISLANDS;False;23/07/1949;
Tsunami CANADA BRITISH COLUMBIA;Tsunami;CANADA;53.6;-133.3;;22/08/1949;;;location : BRITISH COLUMBIA;False;22/08/1949;
