Search Parameters;Year;Month;Day;Location Name;Latitude;Longitude;Mag;population_touchee;accessibilite
;1953;4;1;IRAN:  KHAN-E-ZENYAN,KHATIRI;29.0;52.0;;2000;0.4
;1953;5;3;CHINA:  YUNNAN PROVINCE;24.2;103.2;5.0;1200;0.4
;1953;5;6;CHILE:  CHILLAN, CONCEPCION;-36.5;-72.5;7.6;50000;0.6
;1953;5;31;DOMINICAN REPUBLIC: PUERTO PLATA;19.8;-70.7;7.2;5000;0.6
;1953;6;18;TURKEY:  EDIRNE;41.4;26.3;;1000;0.7
;1953;7;2;VANUATU ISLANDS;-19.0;169.0;7.5;5000;0.3
;1953;8;9;GREECE: IONIAN ISLANDS: ITHAKI, CEPHALONIA, LEFKADA;38.216;20.83;6.3;10000;0.6
;1953;8;11;GREECE:  ASPROGERAKAS (KEPHALLENIA);38.1;20.6;6.8;30000;0.6
;1953;8;12;GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA);38.3;20.8;7.2;100000;0.6
;1953;9;10;CYPRUS:  PAPHOS;34.741;32.335;6.3;15000;0.6
;1953;9;14;FIJI ISLANDS;-18.3;178.2;6.4;5000;0.4
;1953;11;4;SOLOMON ISLANDS;-13.189;166.516;7.5;5000;0.3
;1953;11;25;JAPAN:  KASHIMA;34.0;141.7;7.4;5000;0.6
;1953;12;7;CHILE:  NORTHERN;-22.1;-68.7;7.4;5000;0.4
;1953;12;12;PERU-ECUADOR;-3.4;-80.6;7.4;12000;0.4
;1954;2;5;MEXICO:  CHIAPAS;17.283;-92.382;6.1;5000;0.4
;1954;2;11;CHINA:  GANSU PROVINCE;39.0;101.3;7.3;15000;0.4
;1954;2;28;AUSTRALIA:  ADELAIDE:  S;-34.93;138.69;4.9;5000;0.85
;1954;3;21;"MYANMAR; INDIA:  CALCUTTA, CUTTACK, BHAGALPUR";24.5;95.3;7.4;10000;0.4
;1954;3;29;SPAIN;37.0;-3.5;7.0;150000;0.6
;1954;4;20;GREECE;39.8;22.1;7.0;15000;0.6
;1954;4;29;ATLANTIC OCEAN:  NORTHERN;29.5;-29.5;7.5;0;0.1
;1954;4;30;GREECE:  SOPHADES (KARDITSA);39.228;22.162;6.7;10000;0.6
;1954;6;10;AFGHANISTAN:  NORTHERN;36.0;66.0;;1200;0.3
;1954;6;17;CHINA:  ANHUI PROVINCE;31.6;116.6;5.3;10000;0.6
;1954;7;2;PHILIPPINES:  LUZON:  SORSOGON, BACON, LEGASPI;13.0;123.9;6.8;5000;0.6
;1954;7;6;NEVADA:  FALLON;39.4;-118.5;6.8;5000;0.6
;1954;7;31;CHINA: NEI MONGOL;38.8;104.2;7.0;12000;0.4
;1954;8;20;IRAN:  TONBAK,KANGAN,SABAKHI,AKHTAR;27.5;52.0;5.0;5000;0.4
;1954;8;23;NEVADA:  STILLWATER RANGE;39.6;-118.5;6.8;1200;0.4
;1954;9;9;ALGERIA:  ORLEANSVILLE;36.274;1.594;6.7;140000;0.6
;1954;9;9;ALGERIA:  EL ASNAM;36.0;1.5;6.7;125000;0.6
;1954;9;9;ALGERIA:  EL ASNAM;36.0;1.5;;1250000;0.6
;1954;9;9;ALGERIA:  EL ASNAM;36.0;1.5;6.0;1243;0.6
;1954;10;24;CHINA:  SICHUAN PROVINCE;29.4;104.8;5.0;1200;0.4
;1954;11;2;INDONESIA:  SUMABAWA:  BIMA,RABA;-8.0;119.0;6.8;15000;0.4
;1954;11;18;JAPAN:  HONSHU:  MIYAGI PREFECTURE;38.9;142.2;6.5;5000;0.6
;1954;12;16;NEVADA:  DIXIE VALLEY;39.3;-118.2;7.0;1000;0.4
;1954;12;21;CALIFORNIA:  HUMBOLDT COUNTY;40.846;-123.893;6.6;5000;0.6
;1955;1;18;VENEZUELA:  OFF THE COAST NEAR LA VELA;11.46;-69.57;;5000;0.6
;1955;1;25;CALIFORNIA:  TERMINAL ISLAND;33.8;-118.2;;5000;0.9
;1955;2;18;PAKISTAN:  QUETTA;30.5;67.0;;5000;0.4
;1955;2;27;KERMADEC ISLANDS;-28.0;-175.5;7.8;0;0.1
;1955;3;31;PHILIPPINES:  MINDANAO:  LANAO,OZAMIZ,COTABATO;7.658;123.157;7.4;50000;0.4
;1955;4;4;NICARAGUA:  MANAGUA;13.0;-87.0;6.2;30000;0.6
;1955;4;13;GREECE:  S;37.5;22.0;;10000;0.6
;1955;4;14;CHINA:  SICHUAN PROVINCE;30.0;101.8;7.5;10000;0.3
;1955;4;15;CHINA:  XINJIANG PROVINCE;39.9;74.6;7.0;5000;0.3
;1955;4;19;GREECE:  DRAKIA-AGRIA (MAGNESIA);39.4;23.1;6.2;15000;0.6
;1955;4;19;CHILE;-30.0;-72.0;7.1;5000;0.6
;1955;4;21;GREECE:  AEGEAN SEA;39.5;23.0;6.0;5000;0.7
;1955;4;24;CHINA:  XINJIANG PROVINCE;44.2;83.6;6.5;12000;0.4
;1955;5;17;INDIA:  LITTLE NICOBAR ISLAND;6.5;94.0;7.3;5000;0.3
;1955;6;7;CHINA:  YUNNAN PROVINCE;26.5;101.1;6.0;10000;0.4
;1955;7;16;"TURKEY: SOKE, AYDIN;  GREECE: SAMOS";37.617;27.284;6.6;10000;0.6
;1955;7;20;COLOMBIA-ECUADOR;0.2;-78.4;6.0;5000;0.4
;1955;9;1;COSTA RICA;10.0;-84.5;5.8;5000;0.6
;1955;9;8;SOLOMON ISLANDS:  FAURO ISLAND;-6.9;155.7;6.5;5000;0.3
;1955;9;12;EGYPT:  NILE DELTA;32.2;29.6;6.3;5000;0.7
;1955;9;23;CHINA:  YUNNAN PROVINCE;26.6;101.8;6.8;1500;0.4
;1955;10;1;CHINA:  SICHUAN PROVINCE;29.9;101.4;5.8;5000;0.4
;1955;10;9;PERU:  MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI;-16.2;-71.3;;1200;0.3
;1955;10;10;PAPUA NEW GUINEA:  BISMARCK SEA;-5.1;152.924;7.3;5000;0.3
;1956;1;8;MEXICO:  GUERRERO;17.0;-99.5;6.5;5000;0.4
;1956;1;8;CHILE;-19.0;-70.0;7.1;5000;0.4
;1956;1;10;TONGA ISLANDS;-26.0;-175.241;7.0;5000;0.4
;1956;1;12;HUNGARY;47.5;19.3;5.8;10000;0.8
;1956;1;16;ECUADOR;-0.5;-80.5;7.3;10000;0.4
;1956;1;24;NICARAGUA:  PUERTO SAMOZA;12.2;-86.7;7.3;10000;0.6
;1956;1;31;BALKANS NW:  SLOVENIA:  ILIRSKA BISTRICA,KOSEZE;45.5;14.3;4.5;5000;0.7
;1956;2;20;TURKEY:  ESKISEHIR;40.0;30.5;5.8;12000;0.6
;1956;3;2;NEW ZEALAND:  NORTH ISLAND;-38.9;175.7;5.3;500;0.7
;1956;3;5;NE. HOKKAIDO ISLAND, JAPAN;44.3;144.1;;5000;0.6
;1956;3;16;LEBANON:  LITANI;35.5;35.5;5.8;15000;0.6
;1956;4;19;SPAIN;37.183;-3.683;5.0;12000;0.75
